cos_i_ring,theta_ring_deg,p_true,b_true,PR
0.18325000000000002,86.25,0.08348544208513922,0.6155513679361496,-1.3850102442536436
0.18325000000000002,87.0,0.08348544208513922,0.6153982479913271,-1.387270283873352
0.18325000000000002,87.75,0.08348544208513922,0.6152790701179752,-1.3890284140150908
0.18325000000000002,88.5,0.08348544208513922,0.6151938980573703,-1.3902843885370533
0.18325000000000002,89.25,0.08348544208513922,0.6151427769041085,-1.3910380387475387
0.18325000000000002,90.0,0.08348544208513922,0.6151257335421438,-1.39128926625981
0.19562500000000002,72.0,0.08275093500577864,0.6134049742296328,-1.403371528391872
0.20800000000000002,70.5,0.08203302292565268,0.612284475404799,-1.4175635973360834
0.20800000000000002,71.25,0.08203302292565268,0.6143853296966483,-1.390142860403663
0.22037500000000002,69.75,0.08133118426109191,0.6133576328944541,-1.4031758723418477
0.23275,68.25,0.08064479706493438,0.6125113812976625,-1.413802166455149
0.23275,69.0,0.08064479706493438,0.6144616291444731,-1.3883323390346778
0.245125,67.5,0.07997313669532825,0.6137141646212705,-1.3977122863334688
0.2575,66.0,0.07931537744763832,0.613158097113306,-1.4045729350378662
0.2575,66.75,0.07931537744763832,0.6149537336003847,-1.3810739020217233
0.26987500000000003,64.5,0.0786705956526628,0.6128001136061639,-1.408841504489346
0.26987500000000003,65.25,0.0786705956526628,0.614504266171473,-1.386570529337875
0.28225,63.0,0.07803777221968144,0.6126472861263326,-1.410435133903834
0.28225,63.75,0.07803777221968144,0.6142578710539399,-1.3894009154636733
0.294625,61.5,0.07741579292713659,0.6127070762391503,-1.4092602551534417
0.294625,62.25,0.07741579292713659,0.614222082858475,-1.3894726654475142
0.30700000000000005,60.0,0.07680344487333948,0.6129873502845086,-1.405211718799582
0.30700000000000005,60.75,0.07680344487333948,0.6144048550960316,-1.386681783692092
0.319375,57.75,0.07619940732703522,0.6122098292121051,-1.4149411913734664
0.319375,58.5,0.07619940732703522,0.6134964168209015,-1.3981715079265478
0.319375,59.25,0.07619940732703522,0.6148145996876296,-1.380911375259095
0.33175000000000004,55.5,0.07560223464373837,0.6119082407916535,-1.4184651981558747
0.33175000000000004,56.25,0.07560223464373837,0.6130588389990247,-1.40348671460581
0.33175000000000004,57.0,0.07560223464373837,0.6142431020209133,-1.3880068090822597
0.344125,53.25,0.0750103276900399,0.6121011554820299,-1.4155601531073096
0.344125,54.0,0.0750103276900399,0.6131109590212881,-1.4024082378327882
0.344125,54.75,0.0750103276900399,0.6141564608390739,-1.3887422843201993
0.35650000000000004,50.25,0.07442188780155932,0.6119808879218618,-1.4167228325147052
0.35650000000000004,51.0,0.07442188780155932,0.6128069888066978,-1.4059709213626161
0.35650000000000004,51.75,0.07442188780155932,0.6136715450411817,-1.3946851641138966
0.35650000000000004,52.5,0.07442188780155932,0.6145737734574757,-1.3828711302506034
0.368875,46.5,0.07383484244050718,0.6121433865064173,-1.4142054319642932
0.368875,47.25,0.07383484244050718,0.6127353280095287,-1.4064995156228945
0.368875,48.0,0.07383484244050718,0.6133691756671555,-1.39823035080162
0.368875,48.75,0.07383484244050718,0.6140441430100926,-1.3894045387002758
0.368875,49.5,0.07383484244050718,0.6147594477683879,-1.3800284639820493
0.38125000000000003,38.25,0.0732467212970808,0.6121540816951418,-1.4138095494964658
0.38125000000000003,39.0,0.0732467212970808,0.612647586897635,-1.4072316001185923
0.38125000000000003,39.75,0.0732467212970808,0.6127546004161594,-1.405837137855904
0.38125000000000003,40.5,0.0732467212970808,0.6129106379441871,-1.4038029222357584
0.38125000000000003,41.25,0.0732467212970808,0.6131149322503575,-1.401137917824723
0.38125000000000003,42.0,0.0732467212970808,0.6133667138477759,-1.3978508230231825
0.38125000000000003,42.75,0.0732467212970808,0.6136652117372414,-1.3939500757975407
0.38125000000000003,43.5,0.0732467212970808,0.614009654106499,-1.3894438594680287
0.38125000000000003,44.25,0.0732467212970808,0.6143992689870302,-1.3843401085360785
0.393625,38.25,0.07265443687684982,0.612986634013522,-1.4036551590260424
0.406,38.25,0.07205385603878814,0.6138980376404273,-1.3924105784290772
0.41837500000000005,37.5,0.07143881958889928,0.6128236625533717,-1.4077525874739183
0.43075,36.75,0.07079812927067124,0.6121503571495447,-1.417692637107903
0.43075,37.5,0.07079812927067124,0.6142204370487996,-1.3900305123015808
0.44312500000000005,36.0,0.07009152165102771,0.6122412496084804,-1.4175146318625638
0.44312500000000005,36.75,0.07009152165102771,0.6142439085576876,-1.3907655770276226
0.4555,35.25,0.06935085461595855,0.6128409396336182,-1.4105863113863195
0.4555,36.0,0.06935085461595855,0.6147643730254335,-1.3848588399438413
0.46787500000000004,34.5,0.06865071375588412,0.6132986741896509,-1.4054563152356503
0.46787500000000004,35.25,0.06865071375588412,0.6151444944966984,-1.380743852640701
0.48025,33.75,0.0679885454647726,0.6136239429553486,-1.4020091325832555
0.49262500000000004,33.0,0.06736205975781291,0.6138250446080886,-1.4001421129172082
0.505,32.25,0.06676920959247593,0.6139091154250013,-1.399765607920753
0.517375,31.5,0.06620817468742113,0.6138821353632867,-1.4008032935294576
0.517375,32.25,0.06620817468742113,0.6154317505605311,-1.3800675297850309
0.52975,30.75,0.06567734995350116,0.6137489073967799,-1.403192740020309
0.52975,31.5,0.06567734995350116,0.6152278335472207,-1.3834243743247443
0.5421250000000001,30.0,0.06517533901375155,0.613513002634346,-1.406886335460339
0.5421250000000001,30.75,0.06517533901375155,0.6149225866380559,-1.3880718965367944
0.5545,29.25,0.06470095384405364,0.6131766585279166,-1.4118527307107915
0.5545,30.0,0.06470095384405364,0.6145182797372907,-1.393977258718214
0.566875,28.5,0.06425322250165053,0.6127406083189889,-1.4180790862137227
0.566875,29.25,0.06425322250165053,0.6140156929153472,-1.4011261019203278
0.566875,30.0,0.06425322250165053,0.615279402955558,-1.3842459646435692
0.57925,28.5,0.06383140863161049,0.6134138370825708,-1.409526095589436
0.57925,29.25,0.06383140863161049,0.6146158924620522,-1.3935128694444736
0.5916250000000001,27.75,0.06343504991287881,0.6127094942456731,-1.4192126980335706
0.5916250000000001,28.5,0.06343504991287881,0.6138511263757133,-1.4040507979760652
0.5916250000000001,29.25,0.06343504991287881,0.6149858149402181,-1.3889184243608586
0.6040000000000001,27.75,0.06306403036378148,0.6129789778744017,-1.4159309879493636
0.6040000000000001,28.5,0.06306403036378148,0.6140574448002156,-1.4016007757743116
0.6040000000000001,29.25,0.06306403036378148,0.6151299400337856,-1.3872941275974209
0.616375,27.75,0.062718721221538,0.6130122854831659,-1.4157366896066494
0.616375,28.5,0.062718721221538,0.6140324151036761,-1.4021864366923664
0.616375,29.25,0.062718721221538,0.6150474844006165,-1.3886536950942607
0.62875,27.75,0.06240028601256462,0.6128012495635239,-1.418736842593176
0.62875,28.5,0.06240028601256462,0.6137675566379206,-1.4059174139975172
0.62875,29.25,0.06240028601256462,0.6147296575835944,-1.393109433979594
0.62875,30.0,0.06240028601256462,0.6156859624533153,-1.3803347335510177
0.6411250000000001,28.5,0.062111499281548375,0.6132386762583458,-1.4131013930026453
0.6411250000000001,29.25,0.062111499281548375,0.614152104613476,-1.4009705969132127
0.6411250000000001,30.0,0.062111499281548375,0.615060646363726,-1.3888654333555615
