# rho_grid_gcc rho_cdf
7.744928205462680015e-01 9.605246132606622985e-06
7.745919994952031873e-01 9.637604866060607250e-06
7.746911784441383730e-01 9.669960433005812020e-06
7.747903573930735588e-01 9.702313041646188336e-06
7.748895363420087445e-01 9.734662903223786052e-06
7.749887152909438193e-01 9.767010232007359546e-06
7.750878942398790050e-01 9.799355245280936164e-06
7.751870731888141908e-01 9.831698163331774798e-06
7.752862521377493765e-01 9.864039209438483710e-06
7.753854310866845623e-01 9.896378609858740250e-06
7.754846100356197480e-01 9.928716593816792031e-06
7.755837889845549338e-01 9.961053393490802265e-06
7.756829679334901195e-01 9.993389243999893542e-06
7.757821468824253053e-01 1.002572438339104762e-05
7.758813258313603800e-01 1.005805905262571044e-05
7.759805047802955658e-01 1.009039349556637684e-05
7.760796837292307515e-01 1.012272795896257890e-05
7.761788626781659373e-01 1.015506269243706409e-05
7.762780416271011230e-01 1.018739794847153460e-05
7.763772205760363088e-01 1.021973398239223426e-05
7.764763995249714945e-01 1.025207105235533380e-05
7.765755784739065692e-01 1.028440941933202476e-05
7.766747574228417550e-01 1.031674934709365750e-05
7.767739363717769407e-01 1.034909110219624383e-05
7.768731153207121265e-01 1.038143495396514437e-05
7.769722942696473122e-01 1.041378117447937982e-05
7.770714732185824980e-01 1.044613003855575413e-05
7.771706521675176838e-01 1.047848182373277958e-05
7.772698311164528695e-01 1.051083681025440860e-05
7.773690100653879442e-01 1.054319528105353020e-05
7.774681890143231300e-01 1.057555752173542405e-05
7.775673679632583157e-01 1.060792382056069782e-05
7.776665469121935015e-01 1.064029446842834483e-05
7.777657258611286872e-01 1.067266975885847138e-05
7.778649048100638730e-01 1.070504998797480719e-05
7.779640837589990587e-01 1.073743545448709558e-05
7.780632627079342445e-01 1.076982645967322787e-05
7.781624416568693192e-01 1.080222330736119480e-05
7.782616206058045050e-01 1.083462630391100914e-05
7.783607995547396907e-01 1.086703575819609300e-05
7.784599785036748765e-01 1.089945198158482096e-05
7.785591574526100622e-01 1.093187528792174647e-05
7.786583364015452480e-01 1.096430599350859779e-05
7.787575153504804337e-01 1.099674441708518586e-05
7.788566942994155085e-01 1.102919087981003270e-05
7.789558732483506942e-01 1.106164570524104206e-05
7.790550521972858800e-01 1.109410921931559420e-05
7.791542311462210657e-01 1.112658175033085910e-05
7.792534100951562515e-01 1.115906362892375741e-05
7.793525890440914372e-01 1.119155518805074002e-05
7.794517679930266230e-01 1.122405676296746949e-05
7.795509469419618087e-01 1.125656869120826758e-05
7.796501258908969945e-01 1.128909131256544603e-05
7.797493048398320692e-01 1.132162496906838308e-05
7.798484837887672549e-01 1.135417000496268820e-05
7.799476627377024407e-01 1.138672676668877212e-05
7.800468416866376264e-01 1.141929560286066088e-05
7.801460206355728122e-01 1.145187686424446083e-05
7.802451995845079979e-01 1.148447090373670513e-05
7.803443785334431837e-01 1.151707807634254087e-05
7.804435574823782584e-01 1.154969873915372326e-05
7.805427364313134442e-01 1.158233325132666045e-05
7.806419153802486299e-01 1.161498197405991298e-05
7.807410943291838157e-01 1.164764527057194225e-05
7.808402732781190014e-01 1.168032350607850993e-05
7.809394522270541872e-01 1.171301704776998940e-05
7.810386311759893729e-01 1.174572626478849580e-05
7.811378101249245587e-01 1.177845152820492469e-05
7.812369890738596334e-01 1.181119321099578742e-05
7.813361680227948192e-01 1.184395168802009384e-05
7.814353469717300049e-01 1.187672733599574556e-05
7.815345259206651907e-01 1.190952053347616117e-05
7.816337048696003764e-01 1.194233166082657124e-05
7.817328838185355622e-01 1.197516110020023017e-05
7.818320627674707479e-01 1.200800923551452317e-05
7.819312417164059337e-01 1.204087645242691722e-05
7.820304206653410084e-01 1.207376313831075292e-05
7.821295996142761942e-01 1.210666968223112944e-05
7.822287785632113799e-01 1.213959647492027791e-05
7.823279575121465657e-01 1.217254390875318377e-05
7.824271364610817514e-01 1.220551237772291782e-05
7.825263154100169372e-01 1.223850227741590282e-05
7.826254943589521229e-01 1.227151400498704806e-05
7.827246733078871976e-01 1.230454795913474315e-05
7.828238522568223834e-01 1.233760454007594688e-05
7.829230312057575691e-01 1.237068414952076262e-05
7.830222101546927549e-01 1.240378719064735091e-05
7.831213891036279406e-01 1.243691406807645921e-05
7.832205680525631264e-01 1.247006518784598376e-05
7.833197470014983121e-01 1.250324095738537396e-05
7.834189259504334979e-01 1.253644178548996389e-05
7.835181048993686836e-01 1.256966808229521910e-05
7.836172838483037584e-01 1.260292025925083099e-05
7.837164627972389441e-01 1.263619872909495004e-05
